employer,jan,feb,mar,apr,may,total,months_active,avg_per_month,size_category
Alder Clover Limited,0,1,0,0,0,1,1,1.0,1 permit
Alertline Security Limited,0,0,0,2,0,2,1,2.0,2-5 permits
Alexion Pharma International Operations Limited,0,0,0,1,1,2,2,1.0,2-5 permits
Ali Raza,1,0,0,0,0,1,1,1.0,1 permit
Alibaba Spices Limited,0,0,0,1,0,1,1,1.0,1 permit
Alice H K Teng,0,1,0,0,1,2,2,1.0,2-5 permits
ALIF PRIVATE LIMITED,0,0,0,0,2,2,1,2.0,2-5 permits
Align Invisalign IE Limited,0,0,0,0,1,1,1,1.0,1 permit
Alison Herlihy,1,0,0,0,0,1,1,1.0,1 permit
Alive Outside Limited,0,0,0,0,1,1,1,1.0,1 permit
Alizashanza Medics Limited,2,2,0,0,0,4,2,2.0,2-5 permits
All About Healthcare Limited,0,2,0,4,1,7,3,2.3,6-20 permits
All Bar None Limited,0,0,0,0,1,1,1,1.0,1 permit
All Fresh Wholesale Limited,1,1,0,0,0,2,2,1.0,2-5 permits
All In Care Limited,7,5,12,1,0,25,4,6.2,21-100 permits
All Net Systems Limited,1,0,0,0,0,1,1,1.0,1 permit
All Star Food Limited,0,0,0,0,1,1,1,1.0,1 permit
All Star Tiling Ltd,0,0,0,0,4,4,1,4.0,2-5 permits
Allanbay Limited,0,1,14,0,0,15,2,7.5,6-20 permits
Allegis Group Limited,0,1,0,1,0,2,2,1.0,2-5 permits
Allergan Pharmaceuticals Ireland ULC,1,0,2,1,0,4,3,1.3,2-5 permits
Alley Cuts,0,1,0,0,0,1,1,1.0,1 permit
Alliance Contract Carpets and Flooring Limited,1,0,0,0,0,1,1,1.0,1 permit
Alliance Medical Diagnostic Imaging Limited,5,1,5,2,5,18,5,3.6,6-20 permits
Allibell Limited,1,0,0,0,0,1,1,1.0,1 permit
"Allied Irish Banks, Public Limited Company",1,1,1,0,1,4,4,1.0,2-5 permits
Allied Turned Parts Ltd,0,0,1,0,0,1,1,1.0,1 permit
Allpro Security Services Ireland Limited,0,0,0,20,79,99,2,49.5,21-100 permits
